run_dir,run_id,checkpoint_id,epoch,save_reason,val_accuracy,test_accuracy,ood_accuracy,routing_candidate,routing_score,routing_family_min_score,copy_candidate,copy_score,copy_family_min_score,previous_token_site,previous_token_score,previous_token_family_min_score,previous_token_faithfulness_site,previous_token_faithfulness_score,previous_token_faithfulness_family_min_score,target_seen_in_context_site,target_seen_in_context_score,target_seen_in_context_family_min_score,target_seen_in_context_faithfulness_site,target_seen_in_context_faithfulness_score,target_seen_in_context_faithfulness_family_min_score,repeat_distance_bucket_site,repeat_distance_bucket_score,repeat_distance_bucket_family_min_score,repeat_distance_bucket_faithfulness_site,repeat_distance_bucket_faithfulness_score,repeat_distance_bucket_faithfulness_family_min_score,target_token_site,target_token_score,target_token_family_min_score,target_token_faithfulness_site,target_token_faithfulness_score,target_token_faithfulness_family_min_score
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_000,0,scheduled,0.0,0.0,0.0,block1_head0,0.1111111111111111,0.0,block1_head0,0.0,0.0,block1_final_resid_after_mlp,0.364963503649635,0.0,block1_final_resid_after_mlp,0.0,0.0,block1_head0_final_q,0.5912408759124088,0.0,block1_head0_final_q,0.0,0.0,block1_head0_final_q,0.4744525547445255,0.0,block1_head0_final_q,0.0,0.0,block2_head1_final_v,0.1167883211678832,0.0,block2_head1_final_v,0.03125,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,best_val_epoch_001,1,best_val,0.09401709401709402,0.07692307692307693,0.07692307692307693,block2_head1,0.2592592592592592,0.0,block2_head0,0.3333333333333333,0.0,block1_final_resid_after_mlp,0.364963503649635,0.0,block1_final_resid_after_mlp,0.0,0.0,block2_head0_final_q,0.781021897810219,0.0,block2_head0_final_q,0.171875,0.0,block2_head1_final_k,0.7372262773722628,0.0,block2_head1_final_k,0.171875,0.0,block2_head0_final_head_out,0.1021897810218978,0.0,block2_head0_final_head_out,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_001,1,scheduled,0.09401709401709402,0.07692307692307693,0.07692307692307693,block2_head1,0.2592592592592592,0.0,block2_head0,0.3333333333333333,0.0,block1_final_resid_after_mlp,0.364963503649635,0.0,block1_final_resid_after_mlp,0.0,0.0,block2_head0_final_q,0.781021897810219,0.0,block2_head0_final_q,0.171875,0.0,block2_head1_final_k,0.7372262773722628,0.0,block2_head1_final_k,0.171875,0.0,block2_head0_final_head_out,0.1021897810218978,0.0,block2_head0_final_head_out,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_002,2,scheduled,0.05128205128205128,0.08547008547008547,0.09401709401709402,block2_head1,0.2222222222222222,0.0,block1_head1,0.3703703703703703,0.0,block1_head1_final_v,0.364963503649635,0.0,block1_head1_final_v,0.046875,0.0,block2_head1_final_k,0.7445255474452555,0.0,block2_head1_final_k,0.140625,0.0,block2_head1_final_k,0.7299270072992701,0.0,block2_head1_final_k,0.140625,0.0,block2_head1_final_head_out,0.1021897810218978,0.0,block2_head1_final_head_out,0.078125,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_003,3,scheduled,0.06837606837606838,0.09401709401709402,0.08547008547008547,block1_head1,0.1111111111111111,0.0,block2_head1,0.5185185185185185,0.0,block1_head1_final_v,0.364963503649635,0.0,block1_head1_final_v,0.046875,0.0,block2_head1_final_k,0.7664233576642335,0.0,block2_head1_final_k,0.171875,0.0,block2_head1_final_k,0.7299270072992701,0.0,block2_head1_final_k,0.171875,0.0,block2_head1_final_q,0.0802919708029197,0.0,block2_head1_final_q,0.046875,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_004,4,scheduled,0.07692307692307693,0.11965811965811966,0.11965811965811966,block2_head1,0.1481481481481481,0.0,block2_head1,0.2592592592592592,0.0,block1_head0_final_v,0.3357664233576642,0.0,block1_head0_final_v,0.046875,0.0,block2_head1_final_k,0.7445255474452555,0.0,block2_head1_final_k,0.140625,0.0,block2_head1_final_k,0.6861313868613139,0.0,block2_head1_final_k,0.140625,0.0,block2_head1_final_head_out,0.1167883211678832,0.0,block2_head1_final_head_out,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_005,5,scheduled,0.042735042735042736,0.09401709401709402,0.05982905982905983,block2_head0,0.1851851851851851,0.0,block2_head1,0.2962962962962963,0.0,block1_head1_final_v,0.364963503649635,0.0,block1_head1_final_v,0.046875,0.0,block2_head0_final_q,0.7664233576642335,0.0,block2_head0_final_q,0.09375,0.0,block2_head1_final_k,0.6934306569343066,0.0,block2_head1_final_k,0.09375,0.0,block1_final_resid_after_mlp,0.1094890510948905,0.0,block1_final_resid_after_mlp,0.015625,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_006,6,scheduled,0.06837606837606838,0.07692307692307693,0.07692307692307693,block1_head0,0.1851851851851851,0.0,block2_head1,0.4814814814814814,0.0,block1_head1_final_v,0.364963503649635,0.0,block1_head1_final_v,0.046875,0.0,block2_head0_final_q,0.7153284671532847,0.0,block2_head0_final_q,0.078125,0.0,block2_head0_final_head_out,0.583941605839416,0.0,block2_head0_final_head_out,0.0625,0.0,block2_head1_final_head_out,0.1313868613138686,0.0,block2_head1_final_head_out,0.0625,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_007,7,scheduled,0.03418803418803419,0.08547008547008547,0.09401709401709402,block1_head0,0.1111111111111111,0.0,block2_head1,0.4074074074074074,0.0,block1_head1_final_v,0.364963503649635,0.0,block1_head1_final_v,0.046875,0.0,block2_head1_final_head_out,0.7372262773722628,0.2,block2_head1_final_head_out,0.046875,0.0,block2_head1_final_head_out,0.635036496350365,0.0,block2_head1_final_head_out,0.046875,0.0,block2_final_mlp_out,0.1167883211678832,0.0,block2_final_mlp_out,0.0625,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_008,8,scheduled,0.06837606837606838,0.06837606837606838,0.06837606837606838,block1_head0,0.1111111111111111,0.0,block2_head1,0.4814814814814814,0.0,block1_head1_final_v,0.364963503649635,0.0,block1_head1_final_v,0.046875,0.0,block2_head1_final_head_out,0.6788321167883211,0.0,block2_head1_final_head_out,0.046875,0.0,block2_head1_final_head_out,0.5474452554744526,0.0,block2_head1_final_head_out,0.046875,0.0,block1_head0_final_head_out,0.1167883211678832,0.0,block1_head0_final_head_out,0.03125,0.0
