run_dir,run_id,seed,intervention_signature,intervention_count,checkpoint_id,epoch,save_reason,val_accuracy,test_accuracy,ood_accuracy,query_key_site,query_key_score,query_key_family_min_score,query_key_faithfulness_site,query_key_faithfulness_score,query_key_faithfulness_family_min_score,matching_slot_site,matching_slot_score,matching_slot_family_min_score,matching_slot_faithfulness_site,matching_slot_faithfulness_score,matching_slot_faithfulness_family_min_score,selected_value_site,selected_value_score,selected_value_family_min_score,selected_value_faithfulness_site,selected_value_faithfulness_score,selected_value_faithfulness_family_min_score,routing_candidate,routing_score,routing_family_min_score,copy_candidate,copy_score,copy_family_min_score
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_024,24,scheduled,0.5993333333333334,0.5796666666666667,0.4483333333333333,block1_final_resid_after_mlp,0.751953125,0.0,block1_final_resid_after_mlp,0.5859375,0.0,block2_head1_final_head_out,0.4125,0.0,block2_head1_final_head_out,0.5390625,0.0,block2_final_resid_after_mlp,0.617578125,0.0,block2_final_resid_after_mlp,0.63671875,0.0,block2_head1,0.59453125,0.0,block1_head0,0.772265625,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,best_val_epoch_025,25,best_val,0.718,0.7026666666666667,0.5693333333333334,block1_head0_final_head_out,0.806640625,0.0,block1_head0_final_head_out,0.671875,0.0,block2_head1_final_head_out,0.4171875,0.0,block2_head1_final_head_out,0.60546875,0.0,final_hidden,0.72734375,0.0,final_hidden,0.703125,0.0,block2_head1,0.68203125,0.0,block1_head0,0.822265625,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_025,25,scheduled,0.718,0.7026666666666667,0.5693333333333334,block1_head0_final_head_out,0.806640625,0.0,block1_head0_final_head_out,0.671875,0.0,block2_head1_final_head_out,0.4171875,0.0,block2_head1_final_head_out,0.60546875,0.0,final_hidden,0.72734375,0.0,final_hidden,0.703125,0.0,block2_head1,0.68203125,0.0,block1_head0,0.822265625,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,best_val_epoch_026,26,best_val,0.804,0.8026666666666666,0.6726666666666666,block1_head0_final_head_out,0.8890625,0.0,block1_head0_final_head_out,0.7513020833333334,0.0,block2_head1_final_head_out,0.42734375,0.0,block2_head1_final_head_out,0.6796875,0.0,final_hidden,0.807421875,0.0,final_hidden,0.796875,0.0,block2_head1,0.75078125,0.0,block2_head1,0.9140625,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_026,26,scheduled,0.804,0.8026666666666666,0.6726666666666666,block1_head0_final_head_out,0.8890625,0.0,block1_head0_final_head_out,0.7513020833333334,0.0,block2_head1_final_head_out,0.42734375,0.0,block2_head1_final_head_out,0.6796875,0.0,final_hidden,0.807421875,0.0,final_hidden,0.796875,0.0,block2_head1,0.75078125,0.0,block2_head1,0.9140625,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,best_val_epoch_027,27,best_val,0.8766666666666667,0.8643333333333333,0.7676666666666667,block1_final_resid_after_mlp,0.941796875,0.0,block1_final_resid_after_mlp,0.8450520833333334,0.1666666666666666,block2_head1_final_head_out,0.455859375,0.0,block2_head1_final_head_out,0.7018229166666666,0.1666666666666666,final_hidden,0.85234375,0.0,final_hidden,0.8359375,0.0,block2_head1,0.8046875,0.0,block2_head1,0.9140625,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_027,27,scheduled,0.8766666666666667,0.8643333333333333,0.7676666666666667,block1_final_resid_after_mlp,0.941796875,0.0,block1_final_resid_after_mlp,0.8450520833333334,0.1666666666666666,block2_head1_final_head_out,0.455859375,0.0,block2_head1_final_head_out,0.7018229166666666,0.1666666666666666,final_hidden,0.85234375,0.0,final_hidden,0.8359375,0.0,block2_head1,0.8046875,0.0,block2_head1,0.9140625,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,best_val_epoch_028,28,best_val,0.9193333333333333,0.9213333333333333,0.833,block1_head0_final_head_out,0.943359375,0.0,block1_head0_final_head_out,0.875,0.0,block2_head1_final_resid_contribution,0.459375,0.0,block2_head1_final_resid_contribution,0.7291666666666666,0.1666666666666666,block2_final_resid_after_mlp,0.891796875,0.0,block2_final_resid_after_mlp,0.890625,0.0,block2_head1,0.8484375,0.0,block2_head1,0.951171875,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_028,28,scheduled,0.9193333333333333,0.9213333333333333,0.833,block1_head0_final_head_out,0.943359375,0.0,block1_head0_final_head_out,0.875,0.0,block2_head1_final_resid_contribution,0.459375,0.0,block2_head1_final_resid_contribution,0.7291666666666666,0.1666666666666666,block2_final_resid_after_mlp,0.891796875,0.0,block2_final_resid_after_mlp,0.890625,0.0,block2_head1,0.8484375,0.0,block2_head1,0.951171875,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,best_val_epoch_029,29,best_val,0.93,0.9343333333333333,0.8586666666666667,block1_head0_final_resid_contribution,0.973046875,0.0,block1_head0_final_resid_contribution,0.8802083333333334,0.1666666666666666,block2_head1_final_head_out,0.4671875,0.0,block2_head1_final_head_out,0.7604166666666666,0.1666666666666666,block2_final_resid_after_mlp,0.894921875,0.0,block2_final_resid_after_mlp,0.9140625,0.0,block2_head1,0.849609375,0.0,block2_head1,0.97265625,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_029,29,scheduled,0.93,0.9343333333333333,0.8586666666666667,block1_head0_final_resid_contribution,0.973046875,0.0,block1_head0_final_resid_contribution,0.8802083333333334,0.1666666666666666,block2_head1_final_head_out,0.4671875,0.0,block2_head1_final_head_out,0.7604166666666666,0.1666666666666666,block2_final_resid_after_mlp,0.894921875,0.0,block2_final_resid_after_mlp,0.9140625,0.0,block2_head1,0.849609375,0.0,block2_head1,0.97265625,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,best_val_epoch_030,30,best_val,0.9393333333333334,0.9346666666666666,0.8456666666666667,block1_head0_final_head_out,0.99453125,0.0,block1_head0_final_head_out,0.9127604166666666,0.3333333333333333,block2_head1_final_head_out,0.450390625,0.0,block2_head1_final_head_out,0.7890625,0.3333333333333333,block2_head1_final_head_out,0.915625,0.0,block2_head1_final_head_out,0.79296875,0.0,block2_head1,0.90546875,0.0,block2_head1,0.991015625,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,final_epoch_030,30,final,0.9393333333333334,0.9346666666666666,0.8456666666666667,block1_head0_final_head_out,0.99453125,0.0,block1_head0_final_head_out,0.9127604166666666,0.3333333333333333,block2_head1_final_head_out,0.450390625,0.0,block2_head1_final_head_out,0.7890625,0.3333333333333333,block2_head1_final_head_out,0.915625,0.0,block2_head1_final_head_out,0.79296875,0.0,block2_head1,0.90546875,0.0,block2_head1,0.991015625,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_030,30,scheduled,0.9393333333333334,0.9346666666666666,0.8456666666666667,block1_head0_final_head_out,0.99453125,0.0,block1_head0_final_head_out,0.9127604166666666,0.3333333333333333,block2_head1_final_head_out,0.450390625,0.0,block2_head1_final_head_out,0.7890625,0.3333333333333333,block2_head1_final_head_out,0.915625,0.0,block2_head1_final_head_out,0.79296875,0.0,block2_head1,0.90546875,0.0,block2_head1,0.991015625,0.0
