run_id,seed,intervention_signature,role_name,checkpoint_id_previous,epoch_previous,checkpoint_id_current,epoch_current,previous_candidate,current_candidate,candidate_changed,top_k_overlap_count,top_k_overlap_fraction,previous_top_heads,current_top_heads,previous_leader_gap,current_leader_gap,previous_top_k_score_share,current_top_k_score_share,previous_candidate_rank_current,current_candidate_rank_previous
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_013,13,scheduled_epoch_014,14,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.21992187500000004,0.22226562500000002,0.8062625107234772,0.8062625107234772,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,best_val_epoch_013,13,final_epoch_150,150,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.21992187500000004,0.09023437499999998,0.8062625107234772,0.8647101980924431,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_014,14,scheduled_epoch_015,15,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22226562500000002,0.22187499999999993,0.8062625107234772,0.8063455766757182,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_015,15,scheduled_epoch_016,16,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22187499999999993,0.2230468750000001,0.8063455766757182,0.8063178959405375,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_016,16,scheduled_epoch_017,17,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.2230468750000001,0.22812500000000002,0.8063178959405375,0.8064009144163452,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_017,17,scheduled_epoch_018,18,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22812500000000002,0.22617187500000002,0.8064009144163452,0.8065391205025699,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_018,18,scheduled_epoch_019,19,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22617187500000002,0.2265625,0.8065391205025699,0.806566738044254,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_019,19,scheduled_epoch_020,20,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.2265625,0.22539062499999996,0.806566738044254,0.8066495433789954,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_020,20,scheduled_epoch_021,21,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22539062499999996,0.2261718749999999,0.8066495433789954,0.8065943477019697,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_021,21,scheduled_epoch_022,22,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.2261718749999999,0.22695312499999998,0.8065943477019697,0.8065391205025699,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_022,22,scheduled_epoch_023,23,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22695312499999998,0.22734375000000007,0.8065391205025699,0.806566738044254,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_023,23,scheduled_epoch_024,24,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22734375000000007,0.22734375000000007,0.806566738044254,0.806566738044254,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_024,24,scheduled_epoch_025,25,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22734375000000007,0.22812500000000002,0.806566738044254,0.806566738044254,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_025,25,scheduled_epoch_026,26,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22812500000000002,0.22812500000000002,0.806566738044254,0.806566738044254,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_026,26,scheduled_epoch_027,27,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22812500000000002,0.228515625,0.806566738044254,0.8065391205025699,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_027,27,scheduled_epoch_028,28,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.228515625,0.228515625,0.8065391205025699,0.8065391205025699,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_028,28,scheduled_epoch_029,29,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.228515625,0.228515625,0.8065391205025699,0.8065391205025699,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_029,29,scheduled_epoch_030,30,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.228515625,0.22734375000000007,0.8065391205025699,0.8066219494790924,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_030,30,scheduled_epoch_031,31,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22734375000000007,0.22695312499999998,0.8066219494790924,0.8066495433789954,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_031,31,scheduled_epoch_033,33,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22695312499999998,0.2265625,0.8066495433789954,0.8066771294050507,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_033,33,scheduled_epoch_036,36,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.2265625,0.22343749999999996,0.8066771294050507,0.8070075487822248,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_036,36,scheduled_epoch_038,38,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22343749999999996,0.22421875000000002,0.8070075487822248,0.806952557344351,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_038,38,scheduled_epoch_041,41,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22421875000000002,0.22890624999999998,0.806952557344351,0.8073368406085596,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_041,41,scheduled_epoch_044,44,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.22890624999999998,0.23007812500000002,0.8073368406085596,0.8074737141233305,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_044,44,scheduled_epoch_047,47,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.23007812500000002,0.23398437500000002,0.8074737141233305,0.8071997723392146,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_047,47,scheduled_epoch_050,50,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.23398437500000002,0.23554687499999993,0.8071997723392146,0.8072546230440967,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_050,50,scheduled_epoch_054,54,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.23554687499999993,0.2367187500000001,0.8072546230440967,0.8315233343117112,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_054,54,scheduled_epoch_057,57,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.2367187500000001,0.1937500000000001,0.8315233343117112,0.8393671607753705,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_057,57,scheduled_epoch_062,62,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.1937500000000001,0.19921875,0.8393671607753705,0.8403230376877303,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_062,62,scheduled_epoch_066,66,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.19921875,0.18398437499999998,0.8403230376877303,0.841245245809269,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_066,66,scheduled_epoch_071,71,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.18398437499999998,0.1695312499999999,0.841245245809269,0.8420683856502241,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_071,71,scheduled_epoch_076,76,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.1695312499999999,0.16093750000000007,0.8420683856502241,0.842641720189891,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_076,76,scheduled_epoch_081,81,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.16093750000000007,0.158203125,0.842641720189891,0.8428392134988146,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_081,81,scheduled_epoch_087,87,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.158203125,0.1585937500000001,0.8428392134988146,0.8251261765107079,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_087,87,scheduled_epoch_093,93,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.1585937500000001,0.16757812500000002,0.8251261765107079,0.824671772428884,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_093,93,scheduled_epoch_099,99,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.16757812500000002,0.1875,0.824671772428884,0.823440297479686,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_099,99,scheduled_epoch_106,106,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.1875,0.20156249999999998,0.823440297479686,0.8215230405123208,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_106,106,scheduled_epoch_114,114,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.20156249999999998,0.21953125000000007,0.8215230405123208,0.8402565223728319,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_114,114,scheduled_epoch_122,122,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.21953125000000007,0.13632812500000002,0.8402565223728319,0.8608301886792452,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_122,122,scheduled_epoch_131,131,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.13632812500000002,0.10976562500000009,0.8608301886792452,0.8629811264675287,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_131,131,scheduled_epoch_140,140,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.10976562500000009,0.10117187499999991,0.8629811264675287,0.8641920754161144,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,scheduled_epoch_140,140,scheduled_epoch_150,150,block2_head1,block2_head1,False,3,1.0,"block2_head1,block2_head0,block1_head0","block2_head1,block2_head0,block1_head0",0.10117187499999991,0.09023437499999998,0.8641920754161144,0.8647101980924431,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,copy,final_epoch_150,150,scheduled_epoch_000,0,block2_head1,block1_head1,True,2,0.6666666666666666,"block2_head1,block2_head0,block1_head0","block1_head1,block2_head1,block2_head0",0.09023437499999998,0.07421875000000001,0.8647101980924431,0.8518930957683742,2,4
baseline_seed0_curriculum_off_d64_l2,0,none,routing,scheduled_epoch_000,0,scheduled_epoch_001,1,block1_head1,block1_head0,True,2,0.6666666666666666,"block1_head1,block1_head0,block2_head0","block1_head0,block2_head1,block2_head0",0.017578125,0.010937500000000044,0.7718824940047961,0.7642835776248877,4,2
baseline_seed0_curriculum_off_d64_l2,0,none,routing,best_val_epoch_001,1,best_val_epoch_002,2,block1_head0,block1_head0,False,3,1.0,"block1_head0,block2_head1,block2_head0","block1_head0,block2_head1,block2_head0",0.010937500000000044,0.021093750000000022,0.7642835776248877,0.7706698853349427,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,routing,scheduled_epoch_001,1,scheduled_epoch_002,2,block1_head0,block1_head0,False,3,1.0,"block1_head0,block2_head1,block2_head0","block1_head0,block2_head1,block2_head0",0.010937500000000044,0.021093750000000022,0.7642835776248877,0.7706698853349427,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,routing,scheduled_epoch_002,2,scheduled_epoch_003,3,block1_head0,block1_head0,False,3,1.0,"block1_head0,block2_head1,block2_head0","block1_head0,block2_head1,block2_head0",0.021093750000000022,0.02617187500000001,0.7706698853349427,0.7645470905818836,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,routing,best_val_epoch_002,2,best_val_epoch_011,11,block1_head0,block2_head1,True,3,1.0,"block1_head0,block2_head1,block2_head0","block2_head1,block1_head0,block2_head0",0.021093750000000022,0.02265624999999999,0.7706698853349427,0.7720781113378022,2,2
baseline_seed0_curriculum_off_d64_l2,0,none,routing,scheduled_epoch_003,3,scheduled_epoch_004,4,block1_head0,block1_head0,False,3,1.0,"block1_head0,block2_head1,block2_head0","block1_head0,block2_head1,block2_head0",0.02617187500000001,0.014843749999999989,0.7645470905818836,0.7707025411061286,1,1
baseline_seed0_curriculum_off_d64_l2,0,none,routing,scheduled_epoch_004,4,scheduled_epoch_005,5,block1_head0,block1_head0,False,3,1.0,"block1_head0,block2_head1,block2_head0","block1_head0,block2_head1,block2_head0",0.014843749999999989,0.023828125000000033,0.7707025411061286,0.7648456057007126,1,1
